airport1,airport2,date1,airport3,airport4,date2,price1,price2,price3
NYC,XNN,08/10/2011,Kathmandu,NYC,08/18/2011,2406,2516,3092,3122
NYC,XNN,08/10/2011,Kathmandu,NYC,08/19/2011,2406,3467,4076,4076
NYC,XNN,08/10/2011,Kathmandu,NYC,08/20/2011,2965,3074,3148,3280
NYC,XNN,08/10/2011,Kathmandu,NYC,08/21/2011,3467,3549,3658,4056
NYC,XNN,08/10/2011,Kathmandu,NYC,08/22/2011,2965,3021,3148,3202
NYC,XNN,08/11/2011,Kathmandu,NYC,08/19/2011,2486,4076,4076,5090
NYC,XNN,08/11/2011,Kathmandu,NYC,08/20/2011,3027,3137,3342,3754
NYC,XNN,08/11/2011,Kathmandu,NYC,08/21/2011,2456,4056,4056,4859
NYC,XNN,08/11/2011,Kathmandu,NYC,08/22/2011,3027,3083,3264,3754
NYC,XNN,08/11/2011,Kathmandu,NYC,08/23/2011,2456,2566,2747,3263
NYC,XNN,08/12/2011,Kathmandu,NYC,08/20/2011,2990,3099,3142,3317
NYC,XNN,08/12/2011,Kathmandu,NYC,08/21/2011,3574,3683,4122,4122
NYC,XNN,08/12/2011,Kathmandu,NYC,08/22/2011,2990,3046,3227,3652
NYC,XNN,08/12/2011,Kathmandu,NYC,08/23/2011,2386,2496,3102,3745
NYC,XNN,08/12/2011,Kathmandu,NYC,08/24/2011,3574,3683,4122,4122
NYC,XNN,08/13/2011,Kathmandu,NYC,08/21/2011,2661,3467,4112,4112
NYC,XNN,08/13/2011,Kathmandu,NYC,08/22/2011,3148,3177,3233,3414
NYC,XNN,08/13/2011,Kathmandu,NYC,08/23/2011,2661,2771,2952,3472
NYC,XNN,08/13/2011,Kathmandu,NYC,08/24/2011,3467,3761,3871,4112
NYC,XNN,08/13/2011,Kathmandu,NYC,08/25/2011,2691,2801,2982,3148
NYC,XNN,08/14/2011,Kathmandu,NYC,08/22/2011,2965,3021,3202,3826
NYC,XNN,08/14/2011,Kathmandu,NYC,08/23/2011,2376,2486,3735,4548
NYC,XNN,08/14/2011,Kathmandu,NYC,08/24/2011,3549,3658,4806,4859
NYC,XNN,08/14/2011,Kathmandu,NYC,08/25/2011,2406,2516,3255,3904
NYC,XNN,08/14/2011,Kathmandu,NYC,08/26/2011,2406,2516,3726,3840
NYC,XNN,08/15/2011,Kathmandu,NYC,08/23/2011,2376,2486,2667,3337
NYC,XNN,08/15/2011,Kathmandu,NYC,08/24/2011,3415,3549,3658,4806
NYC,XNN,08/15/2011,Kathmandu,NYC,08/25/2011,2406,2516,3097,3255
NYC,XNN,08/15/2011,Kathmandu,NYC,08/26/2011,2406,3415,4228,4286
NYC,XNN,08/15/2011,Kathmandu,NYC,08/27/2011,2289,2965,3074,3097
NYC,XNN,08/16/2011,Kathmandu,NYC,08/24/2011,3626,3736,3994,3994
NYC,XNN,08/16/2011,Kathmandu,NYC,08/25/2011,2506,2616,2980,3682
NYC,XNN,08/16/2011,Kathmandu,NYC,08/26/2011,2506,2616,3726,3918
NYC,XNN,08/16/2011,Kathmandu,NYC,08/27/2011,2927,2927,3042,3152
NYC,XNN,08/16/2011,Kathmandu,NYC,08/28/2011,2476,2586,2767,3994
NYC,XNN,08/17/2011,Kathmandu,NYC,08/25/2011,2261,2371,2977,2980
NYC,XNN,08/17/2011,Kathmandu,NYC,08/26/2011,2261,3415,4014,4014
NYC,XNN,08/17/2011,Kathmandu,NYC,08/27/2011,2289,2852,2927,2927
NYC,XNN,08/17/2011,Kathmandu,NYC,08/28/2011,2231,3415,3994,3994
NYC,XNN,08/17/2011,Kathmandu,NYC,08/29/2011,2852,2908,3089,3415
NYC,XNN,08/18/2011,Kathmandu,NYC,08/26/2011,2341,4014,4014,5090
NYC,XNN,08/18/2011,Kathmandu,NYC,08/27/2011,2915,2927,2927,3024
NYC,XNN,08/18/2011,Kathmandu,NYC,08/28/2011,2311,2421,2602,3994
NYC,XNN,08/18/2011,Kathmandu,NYC,08/29/2011,2915,2971,3152,3692
NYC,XNN,08/19/2011,Kathmandu,NYC,08/27/2011,2877,2987,2999,2999
NYC,XNN,08/19/2011,Kathmandu,NYC,08/28/2011,2256,2366,3412,3753
NYC,XNN,08/19/2011,Kathmandu,NYC,08/29/2011,2877,2933,3114,3754
NYC,XNN,08/20/2011,Kathmandu,NYC,08/28/2011,2256,3415,4056,4056
NYC,XNN,08/20/2011,Kathmandu,NYC,08/29/2011,2877,2933,3114,3415
NYC,XNN,08/21/2011,Kathmandu,NYC,08/29/2011,2852,2908,2926,3754
