airport1,airport2,date1,airport3,airport4,date2,price1,price2,price3
NYC,XNN,06/10/2011,Kathmandu,NYC,06/18/2011,2375,3114,3116,3802
NYC,XNN,06/10/2011,Kathmandu,NYC,06/19/2011,3694,3803,3994,3996
NYC,XNN,06/10/2011,Kathmandu,NYC,06/20/2011,3037,3084,3086,3484
NYC,XNN,06/10/2011,Kathmandu,NYC,06/21/2011,3084,3086,3694,3772
NYC,XNN,06/10/2011,Kathmandu,NYC,06/22/2011,3114,3116,3694,3802
NYC,XNN,06/11/2011,Kathmandu,NYC,06/19/2011,3431,3749,4180,4180
NYC,XNN,06/11/2011,Kathmandu,NYC,06/20/2011,2488,3122,3165,3221
NYC,XNN,06/11/2011,Kathmandu,NYC,06/21/2011,2488,2776,3270,3270
NYC,XNN,06/11/2011,Kathmandu,NYC,06/22/2011,2518,3300,3300,3749
NYC,XNN,06/11/2011,Kathmandu,NYC,06/23/2011,2806,2916,3037,3431
NYC,XNN,06/12/2011,Kathmandu,NYC,06/20/2011,3084,3130,3136,3186
NYC,XNN,06/12/2011,Kathmandu,NYC,06/21/2011,2437,2546,2942,3084
NYC,XNN,06/12/2011,Kathmandu,NYC,06/22/2011,3114,3166,3714,3802
NYC,XNN,06/12/2011,Kathmandu,NYC,06/23/2011,2741,2851,2972,3994
NYC,XNN,06/12/2011,Kathmandu,NYC,06/24/2011,2741,4014,4066,4823
NYC,XNN,06/13/2011,Kathmandu,NYC,06/21/2011,2488,2632,2741,2864
NYC,XNN,06/13/2011,Kathmandu,NYC,06/22/2011,2518,3802,3844,3873
NYC,XNN,06/13/2011,Kathmandu,NYC,06/23/2011,2936,3046,3167,3258
NYC,XNN,06/13/2011,Kathmandu,NYC,06/24/2011,2936,3431,4823,4879
NYC,XNN,06/13/2011,Kathmandu,NYC,06/25/2011,2263,2518,2600,2709
NYC,XNN,06/14/2011,Kathmandu,NYC,06/22/2011,3659,3768,3873,3873
NYC,XNN,06/14/2011,Kathmandu,NYC,06/23/2011,2691,2801,2922,4108
NYC,XNN,06/14/2011,Kathmandu,NYC,06/24/2011,2691,4879,4894,4964
