airport1,airport2,date1,airport3,airport4,date2,price1,price2,price3
NYC,xian,06/11/2011,xian,NYC,06/23/2011,4493,4794,5602,5707
NYC,xian,06/12/2011,xian,NYC,06/20/2011,3883,4648,5159,5919
NYC,xian,06/12/2011,xian,NYC,06/21/2011,2841,4315,4648,5159
NYC,xian,06/12/2011,xian,NYC,06/22/2011,4648,5159,5919,6076
NYC,xian,06/12/2011,xian,NYC,06/23/2011,4315,4648,5159,5919
NYC,xian,06/13/2011,xian,NYC,06/21/2011,4507,4826,5166,5646
NYC,xian,06/13/2011,xian,NYC,06/22/2011,4507,4833,5166,5917
NYC,xian,06/13/2011,xian,NYC,06/23/2011,4507,4794,5166,5917
NYC,xian,06/14/2011,xian,NYC,06/22/2011,3883,4620,5159,5919
NYC,xian,06/14/2011,xian,NYC,06/23/2011,2801,4315,4620,5159
NYC,xian,06/15/2011,xian,NYC,06/23/2011,4493,4794,6076,6076
